Date,Location,Total points,Points flowering,New flowers,Total Flowers
30 Mar 20,3*2ag,8,3->5,4,
30 Mar 20,4*3a2g,12,0,0,
30 Mar 20,4*3a,9,2,3,
30 Mar 20,4*2a,8->9,2,1,
30 Mar 20,3*3g,2,0,0,
30 Mar 20,6*2a,1,0,0,
30 Mar 20,5*2a,1,1,0,
30 Mar 20,5*2ag,3,0,0,
30 Mar 20,5*3as,1,0,0,
30 Mar 20,5*4a,9,6,2,
30 Mar 20,6*5a,2,1,1,
30 Mar 20,5*4as,5,1,1,
30 Mar 20,7*3a3s,1,0,0,
30 Mar 20,8*4a2s,3,0,0,
30 Mar 20,7*3a2s,1->2,0,0,
30 Mar 20,7*3as,5,0,0,
30 Mar 20,7*3a,2,2,1,
30 Mar 20,8*4a,3,2,2,
30 Mar 20,7*2a,2,1,1,
30 Mar 20,7*a,6,0,0,
30 Mar 20,8*d,2,0,0,
30 Mar 20,7*c,1,0,0,
30 Mar 20,9*2a,3,1,1,
30 Mar 20,10*s,8,0,0,
30 Mar 20,10*as,7,0,0,
30 Mar 20,10*2a,1,0,0,
30 Mar 20,12*2ag,9,2,0,
30 Mar 20,11*g,3,0,0,
30 Mar 20,12*g,1,0,0,
30 Mar 20,13*g,4,0,0,
30 Mar 20,15*2d,3,1,0,
30 Mar 20,16*m,1,0,0,
30 Mar 20,17*a,1,0,0,
30 Mar 20,19*d,7,0,0,
30 Mar 20,19*2d,1,0,0,
30 Mar 20,20*a,3,1,1,
30 Mar 20,21*g,1->2,0,0,
30 Mar 20,23*3a,5,0,0,
31 Mar 20,3*2ag,8,5,2,"2,5,4,1,1"
31 Mar 20,4*3a2g,12,1,1,0
31 Mar 20,4*3a,9,2,2,"6,4"
31 Mar 20,4*2a,9,2,1,"5,4"
31 Mar 20,3*3g,2,0,0,
31 Mar 20,6*2a,1,1,1,0
31 Mar 20,5*2a,1,1,0,4
31 Mar 20,5*2ag,3,1,1,0
31 Mar 20,5*3as,1,0,0,
31 Mar 20,5*4a,9,6,4,"1,3,5,6,8,5"
31 Mar 20,6*5a,2,1,1,5
31 Mar 20,5*4as,5,1,1,6
31 Mar 20,7*3a3s,1,0,0,
31 Mar 20,8*4a2s,3,0,0,
31 Mar 20,7*3a2s,2,0,0,
31 Mar 20,7*3as,5,0,0,
31 Mar 20,7*3a,2,2,1,3
31 Mar 20,8*4a,3,2,1,610
31 Mar 20,7*2a,2,1,0,5
31 Mar 20,7*a,6,1,1,0
31 Mar 20,8*d,2,0,0,
31 Mar 20,7*c,1,0,0,1
31 Mar 20,9*2a,3,1,1,5
31 Mar 20,10*s,8,0,0,
31 Mar 20,10*as,7,0,0,
31 Mar 20,10*2a,1,0,0,
31 Mar 20,12*2ag,9,6,2,"1,5,1,3,1"
31 Mar 20,11*g,3,0,0,
31 Mar 20,12*g,1,0,0,
31 Mar 20,13*g,4,0,0,
31 Mar 20,15*2d,3,1,1,1
31 Mar 20,16*m,1,0,0,
31 Mar 20,17*a,1,0,0,
31 Mar 20,19*d,7,0,0,
31 Mar 20,19*2d,1,0,0,
31 Mar 20,20*a,3,1,1,6
31 Mar 20,21*g,2,0,0,
31 Mar 20,23*3a,5,0,0,
1 Apr 20,3*2ag,8,5,2,
1 Apr 20,4*3a2g,12,1,1,
1 Apr 20,4*3a,9,2,2,
1 Apr 20,4*2a,9,2,2,
1 Apr 20,3*3g,2,0,0,
1 Apr 20,6*2a,1,1,0,
1 Apr 20,5*2a,1,1,1,
1 Apr 20,5*2ag,3,1,0,
1 Apr 20,5*3as,1,0,0,
1 Apr 20,5*4a,9,6,4,
1 Apr 20,6*5a,2,1,0,
1 Apr 20,5*4as,5,1,0,
1 Apr 20,7*3a3s,1,0,0,
1 Apr 20,8*4a2s,3,0,0,
1 Apr 20,7*3a2s,2,0,0,
1 Apr 20,7*3as,5,0,0,
1 Apr 20,7*3a,2,2,1,
1 Apr 20,8*4a,3,3,2,
1 Apr 20,7*2a,2,1,2,
1 Apr 20,7*a,6,1,0,
1 Apr 20,8*d,2,0,0,
1 Apr 20,7*c,1,0,0,
1 Apr 20,9*2a,3,1,1,
1 Apr 20,10*s,8,0,0,
1 Apr 20,10*as,7,0,0,
1 Apr 20,10*2a,1,0,0,
1 Apr 20,12*2ag,9,6,2,
1 Apr 20,11*g,3,0,0,
1 Apr 20,12*g,1,0,0,
1 Apr 20,13*g,4,1,1,
1 Apr 20,15*2d,3,1,1,
1 Apr 20,16*m,1,0,0,
1 Apr 20,17*a,1,0,0,
1 Apr 20,19*d,7,0,0,
1 Apr 20,19*2d,1,0,0,
1 Apr 20,20*a,3,1,1,
1 Apr 20,21*g,2,0,0,
1 Apr 20,23*3a,5,0,0,
1 Apr 20,25*3g,1,0,0,
2 Apr 20,3*2ag,8,6,3,
2 Apr 20,4*3a2g,12,1->5,5,
2 Apr 20,4*3a,9,2->4,4,
2 Apr 20,4*2a,9,2->3,2,
2 Apr 20,3*3g,2,0,0,
2 Apr 20,6*2a,1,1,1,
2 Apr 20,5*2a,1,1,1,
2 Apr 20,5*2ag,3,1,1,
2 Apr 20,5*3as,1,0,0,
2 Apr 20,5*4a,9,6->8,7,
2 Apr 20,6*5a,2,1,1,
2 Apr 20,5*4as,5,1,1,
2 Apr 20,7*3a3s,1,0,0,
2 Apr 20,8*4a2s,3,0,0,
2 Apr 20,7*3a2s,2,0,0,
2 Apr 20,7*3as,5,0,0,
2 Apr 20,7*3a,2,2,0,
2 Apr 20,8*4a,3,3,3,
2 Apr 20,7*2a,2,1,0,
2 Apr 20,7*a,6,2,2,
2 Apr 20,8*d,2,0,0,
2 Apr 20,7*c,1,0,0,
2 Apr 20,9*2a,3,1,0,
2 Apr 20,10*s,8,0,0,
2 Apr 20,10*as,7,0->1,1,
2 Apr 20,10*2a,1,0,0,
2 Apr 20,12*2ag,9,6,3,
2 Apr 20,11*g,3,0,0,
2 Apr 20,12*g,1,0->1,1,
2 Apr 20,13*g,4,1,0,
2 Apr 20,15*2d,3,1,1,
2 Apr 20,16*m,1,0,0,
2 Apr 20,17*a,1,0,0,
2 Apr 20,19*d,7,0,0,
2 Apr 20,19*2d,1,0,0,
2 Apr 20,20*a,3,1,0,
2 Apr 20,21*g,2,0,0,
2 Apr 20,23*3a,5,0->3,1,
2 Apr 20,25*3g,1,0,0,
3 Apr 20,3*2ag,8,6,5,
3 Apr 20,4*3a2g,12,6,4,
3 Apr 20,4*3a,9,5,1,
3 Apr 20,4*2a,9,3,2,
3 Apr 20,3*3g,2,0,0,
3 Apr 20,6*2a,1,1,0,
3 Apr 20,5*2a,1,1,1,
3 Apr 20,5*2ag,3,1,1,
3 Apr 20,5*3as,1,0,0,
3 Apr 20,5*4a,9,8,6,
3 Apr 20,6*5a,2,1,1,
3 Apr 20,5*4as,5,1,1,
3 Apr 20,7*3a3s,1,0,0,
3 Apr 20,8*4a2s,3,0,0,
3 Apr 20,7*3a2s,2,0,0,
3 Apr 20,7*3as,5,0,0,
3 Apr 20,7*3a,2,2,1,
3 Apr 20,8*4a,3,3,2,
3 Apr 20,7*2a,2,1,1,
3 Apr 20,7*a,6,2,2,
3 Apr 20,8*d,2,0->1,1,
3 Apr 20,7*c,1,0,0,
3 Apr 20,9*2a,3,1,1,
